,Cart_Abandonment_Flag
Cart_Abandonment_Flag,1.0
Delivery_Time_mins,0.8653018099400857
Payment_Method_Debit Card,0.041845622732244084
City_Chennai,0.03696006553424384
Discount_Percentage,0.03193819575385665
Discount_Applied,0.02797343385435611
Quantity,0.02131237406694168
Product_Category_Snacks,0.013295590570986048
Loyalty_Points_Earned,0.012962972143123804
City_Mumbai,0.011978755027411995
Payment_Method_UPI,0.011663921943839048
High_Spender_Flag,0.004335528939521777
Loyalty_Tier_Encoded,0.004140141161548976
Product_Category_Household Items,0.0036826887137934123
Gender_Male,0.0030645707454577164
Product_Category_Dairy,-0.00023756260880943966
Total_Purchase_Value,-0.003248865662668507
Lifetime_Value,-0.003248865662668507
Age_Group_Encoded,-0.007580661821430268
City_Hyderabad,-0.007687576142130366
Voice_Search_Count,-0.01317092085955493
Visual_Search_Count,-0.013404094575158633
Competitor_Price,-0.014667204609687708
Browsing_Time_mins,-0.017621109171243828
Payment_Method_Credit Card,-0.020852248193959113
Gender_Non-Binary,-0.02222222128502734
Price,-0.023017707713975724
Product_Category_Groceries,-0.02661254618116304
City_Delhi,-0.02745827820154921
Ad_Click_Through_Rate,-0.03147004270858523
Payment_Method_Net Banking,-0.03295639055164958
Age,-0.06031115597062673
