Age,Price,Quantity,Delivery_Time_mins,Discount_Applied,Loyalty_Points_Earned,Cart_Abandonment_Flag,Total_Purchase_Value,Lifetime_Value,Competitor_Price,Ad_Click_Through_Rate,Browsing_Time_mins,Voice_Search_Count,Visual_Search_Count,Discount_Percentage,High_Spender_Flag,Gender_Male,Gender_Non-Binary,City_Chennai,City_Delhi,City_Hyderabad,City_Mumbai,Product_Category_Dairy,Product_Category_Groceries,Product_Category_Household Items,Product_Category_Snacks,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Age_Group_Encoded,Loyalty_Tier_Encoded
51,424.68,4,11,20.87,198,1,1698.72,1698.72,407.7781746264332,0.228575801801234,84,11,7,4.914288405387586,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
37,492.82,2,8,9.82,169,0,985.64,985.64,507.16869477799423,0.6774945999271873,17,0,7,1.9926139361227224,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,319.89,2,14,25.13,64,1,639.78,639.78,360.362708048117,0.3054200626534947,182,3,0,7.855825439994998,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
52,183.63,1,13,8.4,40,1,183.63,183.63,160.85311475050926,0.5775774222207122,164,3,11,4.574415945107009,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
38,408.78,4,13,28.38,43,1,1635.12,1635.12,375.76448178522935,0.2958361945300169,63,5,3,6.942609716718039,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
50,480.29,5,14,10.32,69,1,2401.4500000000003,2401.4500000000003,481.0688375933639,0.4024842409123429,115,10,11,2.1487018259801367,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,275.22,3,15,9.54,185,1,825.6600000000001,825.6600000000001,274.5830373480268,0.8505432980766906,160,13,2,3.4663178548070626,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
40,450.94,2,8,12.64,104,0,901.88,901.88,460.582813404026,0.3199123501839365,64,15,12,2.8030336630150354,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,13.03,3,9,27.64,185,0,39.09,39.09,62.66906607391583,0.4010732162606181,55,19,12,212.1258633921719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
35,19.58,4,14,20.34,40,1,78.32,78.32,59.36104727364774,0.3661694018545175,122,6,4,103.8815117466803,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
